date,title,content
20161230,[기고]귀농 하라면서 학교는 없애다니,"홍천 노일분교 두달후 폐지
학생들 경기도 보내야할 판
최악 교육환경에 귀농 독려

 초등학교 6학년과 1학년생, 두 형제의 어머니인 김선희씨는 요즘 여러모로 마음이 착잡하다. 3년 전 서울 생활을 접은 뒤 아이들을 데리고 부친의 고향인 홍천군 북방면 노일리로 귀촌(歸村)했는데, 아이들만 경기도로 보내야 할 처지에 놓였기 때문이다. 두 형제가 다니는 노일.."
20161230,[이상민의 귀촌일기] 26. 가지 않은 길,"""나도 전원주택이 꿈인데 . 그런데 마누라가 이혼하고 가라더군."" 우리 집을 방문하는 사람들마다 하는 말이다. 
 
시인 로버트 프로스트는 숲속에서 두 갈래 길을 만나 '가지 않은 길(The Road Not Taken)'이란 시를 지었다. 가지 않은 한쪽 길에 무엇이 기다릴지 미련이 남는 게 남자 쪽이다. 경험하지 않고도 결말을 예측하는 직관은 여자가 .."
20161229,귀농 귀촌인 안정 정착 힘 쏟는다,[충청일보 이정규기자] 충북도는 29일 귀농ㆍ귀촌인의 안정적 정착을 위해 귀농ㆍ귀촌 상생대책 추진단을 약 2개월 동안 운영했다고 밝혔다.  지난 10월부터 이달까지 운영된 추진단은 귀농ㆍ귀촌인 실태를 점검하고 정착 대책을 마련하라는 이시종 지사의 지시에 따라 조직돼 운영됐다.  전국적으로 최근 5년간 귀농ㆍ귀촌인은 연평균 2.9%대의 지속적인 증가세..
20161229,보성 내년 농림해양 예산 1천111억원 확보,"보성군은 내년도 농림해양수산분야 예산으로 1천111억원을 확보했다.

29일 보성군에 따르면 이는 역대 최대 규모이며 내년도 보성군 본예산 3천919억원의 28%를 차지해 분야별 예산 중에도 가장 많다.

농업분야 예산편성 주요 신규사업에는 벼 재배농가 경영안정자금 32억원, 벼 육묘용 상토 100% 지원 14억원, 다목적 소형농기계 120대 2억원, .."
20161229,"충북도, 귀농 귀촌인 정착에 힘쓴다","[중부매일 김정하 기자] 충북도가 도내 귀농ㆍ귀촌인들의 안정적인 정착을 위해 팔을 걷어 붙였다. 29일 충북도에 따르면 도는 내년부터 신규 귀농ㆍ귀촌인 데이터베이스 구축과 교육 프로그램 운영, 지역 내 정책사업 연계한 소득 마련, 민ㆍ관 거버넌스 체계 구축, 민원 현장해결팀 운영 등을 진행할 방침이다. 또 도는 '농민에 희망을!, 농촌에 활력을!'이라는.."
20161229,은퇴 세대 이탈 막는 울산시,"[ 하인식 기자 ] 울산시가 내년부터 ‘베이비부머 은퇴 세대’의 울산 이탈을 막기 위한 종합지원대책을 마련해 본격 시행에 들어간다.시는 본격적인 은퇴 시기를 맞은 베이비붐 세대(1963~1955년 출생)가 여러 가지 이유로 울산을 떠날 경우 인구 감소에 큰 영향을 미칠 것으로 보고 일자리 창출, 주택 공급, 귀농 귀촌, 의료 서비스 등 4대 분야 25개.."
20161229,[특집]국내 최고의 전원도시 귀농 귀촌 1번지 발돋움,"올해 전국 최초로 `특구' 지정

 2020년까지 7,400여명 유입 전망
 정부 추진 각종 공모사업 35개 선정
 지역혁신프로젝트 추진에도 속도

 내년 복지 경제 활성화 주력

 `잘사는 농촌만들기' 투자도 확대
 널미재터널 비롯 SOC사업도 추진
 접근성 향상  관광산업 도약 기대

 홍천군이 `꿈에 그린 전원도시'를 향해 속도를 내고 있다. 
.."
20161229,[특집]“브랜드 가치 높아진 홍천 발전 잠재력 더 끌어올려 미래 먹거리 구상 구체화”,"-올해 시책 추진 성과를 평가한다면

 “올 한 해 시책 추진 성과는 `대풍작'이다. 전국 최초로 전원도시(귀농 귀촌) 특구로 지정된 것을 우선 꼽을 수 있다. 널미재터널 사업과 원주~춘천 간 단선철도 노선이 국가 계획에 반영된 것도 빼놓을 수 없다. 이는 홍천이 더욱더 발전하는 기폭제가 될 것이다.” 

-중앙부처 방문 성과가 많은데

 “정부 추진 .."
20161229,김재수 농식품부 장관 “가축질병 방지 근본적인 개선대책 마련할 것”,"［헤럴드경제=배문숙 기자］김재수 농림축산식품부 장관은 29일 조류인플루엔자(AI), 구제역 등 가축질병 방지를 위해 근본적인 개선대책을 마련하겠다고 밝혔다. 김 장관은 이날 발표한 신년사에서 “AI 종식을 위한 긴급방역에 전력을 다할 것”이라며 이같이 말했다. 김 장관은 또 “앞으로도 철새에 의한 전파 등 가축질병 발생 위험이 상존하고, 구제역 등 .."
20161229,[신년사]김재수 농림축산식품부 장관,존경하는 전국의 농림축산식품산업 가족 여러분! 우리 농업과 농촌을 아껴주시는 국민 여러분! 그리고 관련 기관 및 단체 임직원과 공직자 여러분! 2017 정유년 새해가 밝았습니다. 풍요의 상징이자 오덕(五德)을 갖춘 닭의 해를 맞아 가정에 기쁨과 희망이 가득하고 바라시는 모든 일이 뜻대로 이루어지기를 기원합니다. 우리 농림축산식품 공무원들도 각오를 새롭게..
